Business / DBA Name,Legal Entity Name,Street Address,City,State,ZIP Code,NAICS Code,Industry Category,Entity Type,Permit Issue Date,MSSP Regulatory Sales Hook
"HYUNDAI ELECTRICAL CONTRACTOR, LLC","HYUNDAI ELECTRICAL CONTRACTOR, LLC",1372 COUNTRY PLACE DR,HOUSTON,TX,77079,238210,Electrical Contractors and Other Wiring Installation,Limited Liability Company (LLC),2012-04-19T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
I & I GROUP INC,I & I GROUP INC,6000 REIMS RD APT 3504,HOUSTON,TX,77036,238330,"Construction (General, Civil, Specialty Trades)",Texas Corporation,2019-02-12T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
I HEART HOUSTON,MAIER CONNECTS LLC,2007 CHAPARRAL DR,HOUSTON,TX,77043,238340,"Construction (General, Civil, Specialty Trades)",Limited Liability Company (LLC),2024-08-16T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
I&J AC AND HEATING,I&J AC AND HEATING LLC,134 VINTAGE PARK BLVD STE A-581,HOUSTON,TX,77070,238220,"Plumbing, Heating, and Air-Conditioning Contractors",Limited Liability Company (LLC),2024-07-18T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
"I-TECH COMMUNICATIONS, INC.","I-TECH COMMUNICATIONS, INC.",16240 SEAHORSE DR,HOUSTON,TX,77062,238210,Electrical Contractors and Other Wiring Installation,Texas Corporation,2023-04-18T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
I-WINDOW REMODELING,"I-WINDOW REMODELING, LLC",6125 W SAM HOUSTON PKWY N STE 501,HOUSTON,TX,77041,238191,"Construction (General, Civil, Specialty Trades)",Limited Liability Company (LLC),2025-06-13T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
"I.C. SERVICES, L.L.C.","I.C. SERVICES, L.L.C.",5916 W 34TH ST STE N,HOUSTON,TX,77092,238350,"Construction (General, Civil, Specialty Trades)",Limited Liability Company (LLC),2013-11-18T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
I.S.J. ELECTRICAL SERVICES LLC,I.S.J. ELECTRICAL SERVICES LLC,7151 GARDEN ST,HOUSTON,TX,77087,238210,Electrical Contractors and Other Wiring Installation,Limited Liability Company (LLC),2023-07-19T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
IAQ-ENERGY SOLUTIONS INC,"IAQ-ENERGY SOLUTIONS, INC.",12401 PALMSPRINGS DR,HOUSTON,TX,77034,238221,"Construction (General, Civil, Specialty Trades)",Texas Corporation,2002-09-06T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
IBARRA ELECTRIC,"IBARRA CONSTRUCTION GROUP, LLC",217 WEISENBERGER DR,HOUSTON,TX,77022,238212,"Construction (General, Civil, Specialty Trades)",Limited Liability Company (LLC),2023-11-28T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
ICARUS SOLAR LLC,ICARUS SOLAR LLC,1719 BLALOCK RD,HOUSTON,TX,77080,238160,Roofing Contractors,Limited Liability Company (LLC),2026-05-26T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
ICOT ELECTRIC LLC,ICOT ELECTRIC LLC,10322 SOUTHPORT DR,HOUSTON,TX,77089,238210,Electrical Contractors and Other Wiring Installation,Limited Liability Company (LLC),2023-01-25T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
ICS ENERGY MANAGEMENT SERVICE LLC,ICS ENERGY MANAGEMENT SERVICE LLC,16010 BARKERS POINT LN STE 580,HOUSTON,TX,77079,238210,Electrical Contractors and Other Wiring Installation,Corporation / Corporate Entity,2025-02-01T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
IDC ROOFING AND RENOVATIONS LLC,IDC ROOFING AND RENOVATIONS LLC,11214 EARLY SPRING CIR,HOUSTON,TX,77064,238991,"Construction (General, Civil, Specialty Trades)",Limited Liability Company (LLC),2023-06-28T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
"IDEAL ROOFING, LLC","IDEAL ROOFING, LLC",9535 CLAY RD,HOUSTON,TX,77080,238160,Roofing Contractors,Limited Liability Company (LLC),2014-01-28T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
IDELMAR CONSTRUCTION,IDELMAR CONSTRUCTION LLC,5966 SOUTHWIND ST,HOUSTON,TX,77033,238312,"Construction (General, Civil, Specialty Trades)",Limited Liability Company (LLC),2015-05-05T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
